Inferrence batch: 0, total_time: 0.031480s, time: 0.031480s
Inferrence batch: 90, total_time: 2.619042s, time: 0.029627s
Inferrence batch: 91, total_time: 2.648301s, time: 0.029259s
Inferrence batch: 92, total_time: 2.675450s, time: 0.027149s
Inferrence batch: 93, total_time: 2.700712s, time: 0.025263s
Inferrence batch: 94, total_time: 2.729419s, time: 0.028706s
Inferrence batch: 95, total_time: 2.758679s, time: 0.029260s
Inferrence batch: 96, total_time: 2.789153s, time: 0.030474s
Inferrence batch: 97, total_time: 2.818682s, time: 0.029529s
Inferrence batch: 98, total_time: 2.848603s, time: 0.029921s
Inferrence batch: 99, total_time: 2.877859s, time: 0.029256s
Inferrence batch: 100, total_time: 2.907122s, time: 0.029264s
Inferrence batch: 101, total_time: 2.932770s, time: 0.025647s
Inferrence batch: 102, total_time: 2.960635s, time: 0.027865s
Inferrence batch: 103, total_time: 2.990133s, time: 0.029499s
Inferrence batch: 104, total_time: 3.020030s, time: 0.029897s
Inferrence batch: 105, total_time: 3.049500s, time: 0.029469s
Inferrence batch: 106, total_time: 3.079289s, time: 0.029789s
Inferrence batch: 107, total_time: 3.108650s, time: 0.029361s
Inferrence batch: 108, total_time: 3.138455s, time: 0.029805s
Inferrence batch: 109, total_time: 3.163918s, time: 0.025463s
Inferrence batch: 110, total_time: 3.190207s, time: 0.026289s
Inferrence batch: 111, total_time: 3.219886s, time: 0.029679s
Inferrence batch: 112, total_time: 3.250675s, time: 0.030789s
Inferrence batch: 113, total_time: 3.280111s, time: 0.029436s
Inferrence batch: 114, total_time: 3.310136s, time: 0.030025s
Inferrence batch: 115, total_time: 3.339637s, time: 0.029501s
Inferrence batch: 116, total_time: 3.369488s, time: 0.029851s
Inferrence batch: 117, total_time: 3.396741s, time: 0.027253s
Inferrence batch: 118, total_time: 3.422209s, time: 0.025468s
Inferrence batch: 119, total_time: 3.449432s, time: 0.027223s
Inferrence batch: 120, total_time: 3.478897s, time: 0.029465s
Inferrence batch: 121, total_time: 3.508274s, time: 0.029377s
Inferrence batch: 122, total_time: 3.538033s, time: 0.029759s
Inferrence batch: 123, total_time: 3.566901s, time: 0.028868s
Inferrence batch: 124, total_time: 3.596659s, time: 0.029758s
Inferrence batch: 125, total_time: 3.626055s, time: 0.029396s
Inferrence batch: 126, total_time: 3.652746s, time: 0.026691s
Inferrence batch: 127, total_time: 3.678039s, time: 0.025293s
Inferrence batch: 128, total_time: 3.707961s, time: 0.029922s
Inferrence batch: 129, total_time: 3.736953s, time: 0.028992s
Inferrence batch: 130, total_time: 3.766745s, time: 0.029792s
Inferrence batch: 131, total_time: 3.795863s, time: 0.029119s
Inferrence batch: 132, total_time: 3.825511s, time: 0.029648s
Inferrence batch: 133, total_time: 3.854548s, time: 0.029037s
Inferrence batch: 134, total_time: 3.882137s, time: 0.027589s
Inferrence batch: 135, total_time: 3.908079s, time: 0.025942s
Inferrence batch: 136, total_time: 3.937755s, time: 0.029676s
Inferrence batch: 137, total_time: 3.963302s, time: 0.025548s
Inferrence batch: 138, total_time: 3.989021s, time: 0.025719s
Inferrence batch: 139, total_time: 4.014048s, time: 0.025027s
Inferrence batch: 140, total_time: 4.039995s, time: 0.025947s
Inferrence batch: 141, total_time: 4.064934s, time: 0.024939s
Inferrence batch: 142, total_time: 4.090827s, time: 0.025893s
Inferrence batch: 143, total_time: 4.116172s, time: 0.025344s
Inferrence batch: 144, total_time: 4.141816s, time: 0.025645s
Inferrence batch: 145, total_time: 4.166757s, time: 0.024940s
Inferrence batch: 146, total_time: 4.192358s, time: 0.025601s
Inferrence batch: 147, total_time: 4.217239s, time: 0.024881s
Inferrence batch: 148, total_time: 4.242780s, time: 0.025541s
Inferrence batch: 149, total_time: 4.267813s, time: 0.025033s
Inferrence batch: 150, total_time: 4.292986s, time: 0.025173s
Inferrence batch: 151, total_time: 4.317801s, time: 0.024815s
Inferrence batch: 152, total_time: 4.343277s, time: 0.025477s
Inferrence batch: 153, total_time: 4.368177s, time: 0.024900s
Inferrence batch: 154, total_time: 4.393839s, time: 0.025662s
Inferrence batch: 155, total_time: 4.418926s, time: 0.025087s
Inferrence batch: 156, total_time: 4.444530s, time: 0.025604s
Inferrence batch: 157, total_time: 4.469703s, time: 0.025172s
Inferrence batch: 158, total_time: 4.495392s, time: 0.025689s
Inferrence batch: 159, total_time: 4.520757s, time: 0.025365s
Inferrence batch: 160, total_time: 4.546561s, time: 0.025804s
Inferrence batch: 161, total_time: 4.571396s, time: 0.024835s
Inferrence batch: 162, total_time: 4.600135s, time: 0.028739s
Inferrence batch: 163, total_time: 4.625378s, time: 0.025243s
Inferrence batch: 164, total_time: 4.651154s, time: 0.025776s
Inferrence batch: 165, total_time: 4.676674s, time: 0.025519s
Inferrence batch: 166, total_time: 4.702335s, time: 0.025661s
Inferrence batch: 167, total_time: 4.727382s, time: 0.025047s
Inferrence batch: 168, total_time: 4.753276s, time: 0.025894s
Inferrence batch: 169, total_time: 4.778532s, time: 0.025256s
Inferrence batch: 170, total_time: 4.804326s, time: 0.025794s
Inferrence batch: 171, total_time: 4.829489s, time: 0.025162s
Inferrence batch: 172, total_time: 4.855225s, time: 0.025736s
Inferrence batch: 173, total_time: 4.880321s, time: 0.025096s
Inferrence batch: 174, total_time: 4.905988s, time: 0.025666s
Inferrence batch: 175, total_time: 4.930959s, time: 0.024972s
Inferrence batch: 176, total_time: 4.956941s, time: 0.025981s
Inferrence batch: 177, total_time: 4.981944s, time: 0.025003s
Inferrence batch: 178, total_time: 5.007410s, time: 0.025466s
Inferrence batch: 179, total_time: 5.032281s, time: 0.024872s
Inferrence batch: 180, total_time: 5.057397s, time: 0.025116s
Inferrence batch: 181, total_time: 5.082282s, time: 0.024885s
Inferrence batch: 182, total_time: 5.107873s, time: 0.025591s
Inferrence batch: 183, total_time: 5.132737s, time: 0.024864s
Inferrence batch: 184, total_time: 5.158284s, time: 0.025547s
Inferrence batch: 185, total_time: 5.183216s, time: 0.024932s
Inferrence batch: 186, total_time: 5.208858s, time: 0.025642s
Inferrence batch: 187, total_time: 5.233847s, time: 0.024989s
Inferrence batch: 188, total_time: 5.259502s, time: 0.025656s
Inferrence batch: 189, total_time: 5.284494s, time: 0.024991s
Inferrence batch: 190, total_time: 5.310206s, time: 0.025712s
Inferrence batch: 191, total_time: 5.335328s, time: 0.025123s
Inferrence batch: 192, total_time: 5.361003s, time: 0.025674s
Inferrence batch: 193, total_time: 5.386019s, time: 0.025016s
Inferrence batch: 194, total_time: 5.411794s, time: 0.025775s
Inferrence batch: 195, total_time: 5.437747s, time: 0.025953s
Inferrence batch: 196, total_time: 5.463295s, time: 0.025548s
Inferrence batch: 197, total_time: 5.488261s, time: 0.024966s
Inferrence batch: 198, total_time: 5.513785s, time: 0.025524s
Inferrence batch: 199, total_time: 5.539215s, time: 0.025430s
Inferrence batch: 200, total_time: 5.564858s, time: 0.025643s
Inferrence batch: 201, total_time: 5.589794s, time: 0.024936s
Inferrence batch: 202, total_time: 5.615352s, time: 0.025559s
Inferrence batch: 203, total_time: 5.640306s, time: 0.024953s
Inferrence batch: 204, total_time: 5.665860s, time: 0.025554s
Inferrence batch: 205, total_time: 5.690765s, time: 0.024905s
Inferrence batch: 206, total_time: 5.716367s, time: 0.025602s
Inferrence batch: 207, total_time: 5.741211s, time: 0.024844s
Inferrence batch: 208, total_time: 5.766836s, time: 0.025625s
Inferrence batch: 209, total_time: 5.791713s, time: 0.024876s
Inferrence batch: 210, total_time: 5.817266s, time: 0.025554s
Inferrence batch: 211, total_time: 5.842019s, time: 0.024752s
Inferrence batch: 212, total_time: 5.867470s, time: 0.025451s
Inferrence batch: 213, total_time: 5.892715s, time: 0.025245s
Inferrence batch: 214, total_time: 5.918231s, time: 0.025515s
Inferrence batch: 215, total_time: 5.942960s, time: 0.024730s
Inferrence batch: 216, total_time: 5.968539s, time: 0.025578s
Inferrence batch: 217, total_time: 5.993287s, time: 0.024748s
Inferrence batch: 218, total_time: 6.018828s, time: 0.025542s
Inferrence batch: 219, total_time: 6.043662s, time: 0.024834s
Inferrence batch: 220, total_time: 6.069264s, time: 0.025602s
Inferrence batch: 221, total_time: 6.094049s, time: 0.024785s
Inferrence batch: 222, total_time: 6.119458s, time: 0.025409s
Inferrence batch: 223, total_time: 6.144458s, time: 0.025000s
Inferrence batch: 224, total_time: 6.170182s, time: 0.025723s
Inferrence batch: 225, total_time: 6.195071s, time: 0.024889s
Inferrence batch: 226, total_time: 6.220223s, time: 0.025152s
Inferrence batch: 227, total_time: 6.245028s, time: 0.024805s
Inferrence batch: 228, total_time: 6.270439s, time: 0.025411s
Inferrence batch: 229, total_time: 6.295104s, time: 0.024665s
Inferrence batch: 230, total_time: 6.320565s, time: 0.025461s
Inferrence batch: 231, total_time: 6.345342s, time: 0.024777s
Inferrence batch: 232, total_time: 6.370882s, time: 0.025540s
Inferrence batch: 233, total_time: 6.395672s, time: 0.024790s
Inferrence batch: 234, total_time: 6.421269s, time: 0.025598s
Inferrence batch: 235, total_time: 6.446051s, time: 0.024782s
Inferrence batch: 236, total_time: 6.471467s, time: 0.025416s
Inferrence batch: 237, total_time: 6.496348s, time: 0.024881s
Inferrence batch: 238, total_time: 6.522548s, time: 0.026200s
Inferrence batch: 239, total_time: 6.547354s, time: 0.024806s
Inferrence batch: 240, total_time: 6.572836s, time: 0.025482s
Inferrence batch: 241, total_time: 6.597108s, time: 0.024271s
Inferrence batch: 242, total_time: 6.622536s, time: 0.025429s
Inferrence batch: 243, total_time: 6.647605s, time: 0.025069s
Inferrence batch: 244, total_time: 6.673070s, time: 0.025465s
Inferrence batch: 245, total_time: 6.697813s, time: 0.024743s
Inferrence batch: 246, total_time: 6.723345s, time: 0.025533s
Inferrence batch: 247, total_time: 6.748153s, time: 0.024807s
Inferrence batch: 248, total_time: 6.773600s, time: 0.025447s
Inferrence batch: 249, total_time: 6.798373s, time: 0.024774s
Inferrence batch: 250, total_time: 6.823787s, time: 0.025414s
Inferrence batch: 251, total_time: 6.848586s, time: 0.024799s
Inferrence batch: 252, total_time: 6.882330s, time: 0.033744s
Inferrence batch: 253, total_time: 6.907257s, time: 0.024927s
Inferrence batch: 254, total_time: 6.932649s, time: 0.025391s
Inferrence batch: 255, total_time: 6.957081s, time: 0.024432s
Inferrence batch: 256, total_time: 6.982895s, time: 0.025814s
Inferrence batch: 257, total_time: 7.007620s, time: 0.024725s
Inferrence batch: 258, total_time: 7.033012s, time: 0.025392s
Inferrence batch: 259, total_time: 7.058112s, time: 0.025100s
Inferrence batch: 260, total_time: 7.083630s, time: 0.025519s
Inferrence batch: 261, total_time: 7.108495s, time: 0.024864s
Inferrence batch: 262, total_time: 7.134232s, time: 0.025738s
Inferrence batch: 263, total_time: 7.159288s, time: 0.025056s
Inferrence batch: 264, total_time: 7.185104s, time: 0.025816s
Inferrence batch: 265, total_time: 7.210216s, time: 0.025111s
Inferrence batch: 266, total_time: 7.235991s, time: 0.025775s
Inferrence batch: 267, total_time: 7.260927s, time: 0.024937s
Inferrence batch: 268, total_time: 7.286671s, time: 0.025743s
Inferrence batch: 269, total_time: 7.311563s, time: 0.024893s
Inferrence batch: 270, total_time: 7.337162s, time: 0.025599s
Inferrence batch: 271, total_time: 7.362099s, time: 0.024937s
Inferrence batch: 272, total_time: 7.387650s, time: 0.025551s
Inferrence batch: 273, total_time: 7.412448s, time: 0.024798s
Inferrence batch: 274, total_time: 7.438041s, time: 0.025593s
Inferrence batch: 275, total_time: 7.463126s, time: 0.025085s
Inferrence batch: 276, total_time: 7.489110s, time: 0.025984s
Inferrence batch: 277, total_time: 7.514239s, time: 0.025129s
Inferrence batch: 278, total_time: 7.540102s, time: 0.025863s
Inferrence batch: 279, total_time: 7.565238s, time: 0.025136s
Inferrence batch: 280, total_time: 7.591026s, time: 0.025788s
Inferrence batch: 281, total_time: 7.615770s, time: 0.024744s
Inferrence batch: 282, total_time: 7.645444s, time: 0.029674s
Inferrence batch: 283, total_time: 7.670562s, time: 0.025118s
Inferrence batch: 284, total_time: 7.698385s, time: 0.027822s
Inferrence batch: 285, total_time: 7.727199s, time: 0.028814s
Inferrence batch: 286, total_time: 7.756611s, time: 0.029412s
Inferrence batch: 287, total_time: 7.785353s, time: 0.028742s
Inferrence batch: 288, total_time: 7.814825s, time: 0.029472s
Inferrence batch: 289, total_time: 7.840700s, time: 0.025875s
Inferrence batch: 290, total_time: 7.868791s, time: 0.028091s
Inferrence batch: 291, total_time: 7.897865s, time: 0.029074s
Inferrence batch: 292, total_time: 7.927594s, time: 0.029730s
Inferrence batch: 293, total_time: 7.956585s, time: 0.028991s
Inferrence batch: 294, total_time: 7.987056s, time: 0.030472s
Inferrence batch: 295, total_time: 8.012208s, time: 0.025151s
Inferrence batch: 296, total_time: 8.041155s, time: 0.028947s
Inferrence batch: 297, total_time: 8.070261s, time: 0.029105s
Inferrence batch: 298, total_time: 8.100041s, time: 0.029781s
Inferrence batch: 299, total_time: 8.129052s, time: 0.029011s
Inferrence batch: 300, total_time: 8.158819s, time: 0.029767s
Inferrence batch: 301, total_time: 8.183779s, time: 0.024959s
Inferrence batch: 302, total_time: 8.213430s, time: 0.029652s
Inferrence batch: 303, total_time: 8.242418s, time: 0.028988s
Inferrence batch: 304, total_time: 8.272269s, time: 0.029851s
Inferrence batch: 305, total_time: 8.301110s, time: 0.028841s
Inferrence batch: 306, total_time: 8.331042s, time: 0.029931s
Inferrence batch: 307, total_time: 8.358089s, time: 0.027047s
Inferrence batch: 308, total_time: 8.383926s, time: 0.025837s
Inferrence batch: 309, total_time: 8.412926s, time: 0.029000s
Inferrence batch: 310, total_time: 8.442672s, time: 0.029746s
Inferrence batch: 311, total_time: 8.471618s, time: 0.028945s
Inferrence batch: 312, total_time: 8.501336s, time: 0.029718s
Inferrence batch: 313, total_time: 8.530258s, time: 0.028922s
Inferrence batch: 314, total_time: 8.556032s, time: 0.025774s
Inferrence batch: 315, total_time: 8.583832s, time: 0.027800s
Inferrence batch: 316, total_time: 8.613156s, time: 0.029324s
Inferrence batch: 317, total_time: 8.641769s, time: 0.028613s
Inferrence batch: 318, total_time: 8.671565s, time: 0.029796s
Inferrence batch: 319, total_time: 8.700515s, time: 0.028949s
Inferrence batch: 320, total_time: 8.727501s, time: 0.026986s
Inferrence batch: 321, total_time: 8.753172s, time: 0.025672s
Inferrence batch: 322, total_time: 8.782881s, time: 0.029708s
Inferrence batch: 323, total_time: 8.811803s, time: 0.028923s
Inferrence batch: 324, total_time: 8.841561s, time: 0.029758s
Inferrence batch: 325, total_time: 8.870521s, time: 0.028960s
Inferrence batch: 326, total_time: 8.898544s, time: 0.028023s
Inferrence batch: 327, total_time: 8.923524s, time: 0.024980s
Inferrence batch: 328, total_time: 8.953347s, time: 0.029823s
Inferrence batch: 329, total_time: 8.982297s, time: 0.028950s
Inferrence batch: 330, total_time: 9.012250s, time: 0.029954s
Inferrence batch: 331, total_time: 9.041204s, time: 0.028954s
Inferrence batch: 332, total_time: 9.066899s, time: 0.025695s
Inferrence batch: 333, total_time: 9.095791s, time: 0.028892s
Inferrence batch: 334, total_time: 9.125442s, time: 0.029651s
Inferrence batch: 335, total_time: 9.154317s, time: 0.028875s
Inferrence batch: 336, total_time: 9.184019s, time: 0.029702s
Inferrence batch: 337, total_time: 9.212640s, time: 0.028621s
Inferrence batch: 338, total_time: 9.238335s, time: 0.025695s
Inferrence batch: 339, total_time: 9.267099s, time: 0.028764s
Inferrence batch: 340, total_time: 9.296798s, time: 0.029700s
Inferrence batch: 341, total_time: 9.325603s, time: 0.028805s
Inferrence batch: 342, total_time: 9.355162s, time: 0.029558s
Inferrence batch: 343, total_time: 9.384031s, time: 0.028869s
Inferrence batch: 344, total_time: 9.410131s, time: 0.026100s
Inferrence batch: 345, total_time: 9.437617s, time: 0.027486s
Inferrence batch: 346, total_time: 9.466972s, time: 0.029355s
Inferrence batch: 347, total_time: 9.495921s, time: 0.028949s
Inferrence batch: 348, total_time: 9.525620s, time: 0.029698s
Inferrence batch: 349, total_time: 9.555210s, time: 0.029590s
Inferrence batch: 350, total_time: 9.582819s, time: 0.027610s
Inferrence batch: 351, total_time: 9.607842s, time: 0.025023s
Inferrence batch: 352, total_time: 9.637346s, time: 0.029504s
Inferrence batch: 353, total_time: 9.665935s, time: 0.028589s
Inferrence batch: 354, total_time: 9.695737s, time: 0.029802s
Inferrence batch: 355, total_time: 9.725323s, time: 0.029586s
Inferrence batch: 356, total_time: 9.755101s, time: 0.029778s
Inferrence batch: 357, total_time: 9.781625s, time: 0.026524s
Inferrence batch: 358, total_time: 9.807150s, time: 0.025525s
Inferrence batch: 359, total_time: 9.831904s, time: 0.024754s
Inferrence batch: 360, total_time: 9.861408s, time: 0.029504s
Inferrence batch: 361, total_time: 9.891432s, time: 0.030024s
Inferrence batch: 362, total_time: 9.920928s, time: 0.029497s
Inferrence batch: 363, total_time: 9.949716s, time: 0.028788s
Inferrence batch: 364, total_time: 9.979376s, time: 0.029660s
Inferrence batch: 365, total_time: 10.008147s, time: 0.028771s
Inferrence batch: 366, total_time: 10.037686s, time: 0.029539s
Inferrence batch: 367, total_time: 10.067744s, time: 0.030057s
Inferrence batch: 368, total_time: 10.095314s, time: 0.027570s
Inferrence batch: 369, total_time: 10.120207s, time: 0.024893s
Inferrence batch: 370, total_time: 10.145713s, time: 0.025506s
Inferrence batch: 371, total_time: 10.172548s, time: 0.026835s
Inferrence batch: 372, total_time: 10.202156s, time: 0.029608s
Inferrence batch: 373, total_time: 10.230562s, time: 0.028406s
Inferrence batch: 374, total_time: 10.260024s, time: 0.029462s
Inferrence batch: 375, total_time: 10.288781s, time: 0.028757s
Inferrence batch: 376, total_time: 10.318077s, time: 0.029296s
Inferrence batch: 377, total_time: 10.346631s, time: 0.028554s
Inferrence batch: 378, total_time: 10.375801s, time: 0.029170s
Inferrence batch: 379, total_time: 10.404305s, time: 0.028504s
Inferrence batch: 380, total_time: 10.431260s, time: 0.026954s
Inferrence batch: 381, total_time: 10.456150s, time: 0.024891s
Inferrence batch: 382, total_time: 10.481714s, time: 0.025564s
Inferrence batch: 383, total_time: 10.508535s, time: 0.026821s
Inferrence batch: 384, total_time: 10.538227s, time: 0.029692s
Inferrence batch: 385, total_time: 10.566840s, time: 0.028613s
Inferrence batch: 386, total_time: 10.596385s, time: 0.029545s
Inferrence batch: 387, total_time: 10.625092s, time: 0.028707s
Inferrence batch: 388, total_time: 10.654764s, time: 0.029672s
Inferrence batch: 389, total_time: 10.679673s, time: 0.024909s
Inferrence batch: 390, total_time: 10.708828s, time: 0.029155s
Inferrence batch: 391, total_time: 10.737445s, time: 0.028617s
Inferrence batch: 392, total_time: 10.766985s, time: 0.029541s
Inferrence batch: 393, total_time: 10.795767s, time: 0.028782s
Inferrence batch: 394, total_time: 10.825264s, time: 0.029496s
Inferrence batch: 395, total_time: 10.849951s, time: 0.024688s
Inferrence batch: 396, total_time: 10.878319s, time: 0.028368s
Inferrence batch: 397, total_time: 10.906985s, time: 0.028666s
Inferrence batch: 398, total_time: 10.936489s, time: 0.029504s
Inferrence batch: 399, total_time: 10.965140s, time: 0.028651s
Inferrence batch: 400, total_time: 10.994780s, time: 0.029641s
Inferrence batch: 401, total_time: 11.020315s, time: 0.025535s
Inferrence batch: 402, total_time: 11.047870s, time: 0.027555s
Inferrence batch: 403, total_time: 11.076733s, time: 0.028863s
Inferrence batch: 404, total_time: 11.106002s, time: 0.029269s
Inferrence batch: 405, total_time: 11.134796s, time: 0.028793s
Inferrence batch: 406, total_time: 11.164587s, time: 0.029792s
Inferrence batch: 407, total_time: 11.190548s, time: 0.025961s
Inferrence batch: 408, total_time: 11.217903s, time: 0.027354s
Inferrence batch: 409, total_time: 11.246912s, time: 0.029009s
Inferrence batch: 410, total_time: 11.276600s, time: 0.029688s
Inferrence batch: 411, total_time: 11.305340s, time: 0.028740s
Inferrence batch: 412, total_time: 11.334863s, time: 0.029523s
Inferrence batch: 413, total_time: 11.361538s, time: 0.026675s
Inferrence batch: 414, total_time: 11.387488s, time: 0.025950s
Inferrence batch: 415, total_time: 11.416195s, time: 0.028707s
Inferrence batch: 416, total_time: 11.445776s, time: 0.029581s
Inferrence batch: 417, total_time: 11.474433s, time: 0.028657s
Inferrence batch: 418, total_time: 11.503960s, time: 0.029527s
Inferrence batch: 419, total_time: 11.532399s, time: 0.028440s
Inferrence batch: 420, total_time: 11.558006s, time: 0.025607s
Inferrence batch: 421, total_time: 11.586522s, time: 0.028516s
Inferrence batch: 422, total_time: 11.616496s, time: 0.029974s
Inferrence batch: 423, total_time: 11.645123s, time: 0.028627s
Inferrence batch: 424, total_time: 11.674632s, time: 0.029509s
Inferrence batch: 425, total_time: 11.702526s, time: 0.027894s
Inferrence batch: 426, total_time: 11.728240s, time: 0.025714s
Inferrence batch: 427, total_time: 11.755587s, time: 0.027346s
Inferrence batch: 428, total_time: 11.785224s, time: 0.029637s
Inferrence batch: 429, total_time: 11.814726s, time: 0.029502s
Inferrence batch: 430, total_time: 11.844409s, time: 0.029682s
Inferrence batch: 431, total_time: 11.873275s, time: 0.028866s
Inferrence batch: 432, total_time: 11.902952s, time: 0.029677s
Inferrence batch: 433, total_time: 11.929231s, time: 0.026278s
Inferrence batch: 434, total_time: 11.954904s, time: 0.025673s
Inferrence batch: 435, total_time: 11.979655s, time: 0.024751s
Inferrence batch: 436, total_time: 12.009947s, time: 0.030292s
Inferrence batch: 437, total_time: 12.038707s, time: 0.028760s
Inferrence batch: 438, total_time: 12.068281s, time: 0.029575s
Inferrence batch: 439, total_time: 12.097010s, time: 0.028728s
Inferrence batch: 440, total_time: 12.126547s, time: 0.029537s
Inferrence batch: 441, total_time: 12.155233s, time: 0.028686s
Inferrence batch: 442, total_time: 12.183246s, time: 0.028013s
Inferrence batch: 443, total_time: 12.208101s, time: 0.024855s
Inferrence batch: 444, total_time: 12.237784s, time: 0.029683s
Inferrence batch: 445, total_time: 12.266479s, time: 0.028694s
Inferrence batch: 446, total_time: 12.296075s, time: 0.029596s
Inferrence batch: 447, total_time: 12.324817s, time: 0.028742s
Inferrence batch: 448, total_time: 12.354443s, time: 0.029626s
Inferrence batch: 449, total_time: 12.383037s, time: 0.028594s
